"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1157099","0","KNIGHTS COMMUNITY GYM","Flat 26, Crondall House, Fontley Way, Roehampton, London","SW15 4NE","Putney","07732837777","knightsgym@yahoo.co.uk","knightscommunitygym.com","01/04/2018","4053.0","10601.0","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Amateur Sport, Economic/community Development/employment, Recreation","Children/young People, People With Disabilities, The General Public/mankind","Mobilizing the community through exercise sport and nutrition. ?A mobile fitness and martial arts service?Working with schools, youth centres, community groups, councils and health services, to increase activity levels, and reduce obesity and cardiovascular disease within the community.?Giving children and adults access to health, fitness and nutritional services within the community.","(1)THE PROMOTION OF COMMUNITY PARTICIPATION IN HEALTHY RECREATION BY THE PROVISION OF SPORT, MARTIAL ARTS AND PHYSICAL TRAINING.

 
(2)TO HELP CHILDREN AND YOUNG PEOPLE, ESPECIALLY BUT NOT EXCLUSIVELY THROUGH LEISURE TIME ACTIVITIES, SO TO DEVELOP THEIR CAPABILITIES THAT THEY MAY GROW TO FULL MATURITY AS INDIVIDUALS AND MEMBERS OF SOCIETY."
"1162975","0","ALPHA TRUST SOM-UK LTD","22 Summers Close, WEMBLEY","HA9 9JH","Brent North","07947314884","info@alphatrust.org.uk","www.alphatrust.org.uk","31/10/2020","10465.0","6483.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities","-	Establishment of education
-	Health
-	Youth development
-	Agriculture
-	Fisheries
-	Income generation activities
-	Building and human rights protection;","1.	TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT IN THE UNITED KINGDOM BY PREVENTING PEOPLE FROM BECOMING SOCIALLY EXCLUDED, RELIEVING THE NEEDS OF THOSE PEOPLE WHO ARE SOCIALLY EXCLUDED AND ASSISTING THEM TO INTEGRATE INTO SOCIETY.
 
FOR THE PURPOSE OF THIS CLAUSE ‘SOCIALLY EXCLUDED’ MEANS BEING EXCLUDED FROM SOCIETY, OR PART OF SOCIETY, AS A RESULT OF BEING A MEMBER OF A SOCIALLY AND ECONOMICALLY DEPRIVED COMMUNITY

2.	THE RELIEF AND ASSISTANCE OF PEOPLE IN SOMALIA AND NEIGHBOURING COUNTRIES WHO ARE THE VICTIMS OF WAR OR NATURAL DISASTER, TROUBLE, OR CATASTROPHE

3.	TO ADVANCE EDUCATION OF PEOPLE IN SOMALIA AND NEIGHBOURING COUNTRIES IN SUCH WAYS AS THE TRUSTEES FROM TIME TO TIME DECIDE

4.	TO RELIEVE SICKNESS AND PROMOTE AND PROTECT GOOD HEALTH OF PEOPLE IN SOMALIA AND NEIGHBOURING COUNTRIES IN SUCH WAYS AS THE TRUSTEES FROM TIME TO TIME DECIDE"
"1115740","0","ADVOCACY IN BARNET LIMITED","Advocacy In Barnet, PO Box 77774, LONDON","NW11 1PZ","","02082013415","admin@advocacyinbarnet.org.uk","www.advocacyinbarnet.org.uk","31/03/2020","66087.0","185626.0","Registered","Charitable company","Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","To provide information, representation and support to those resident in London and throughout England who use community or health services so that they may better meet their own needs and participate fully in society;  To advance the education and training of those providing advocacy, social care, health and related professions or wishing to take up such work in London and throughout England.","TO RELIEVE THE NEEDS OF THOSE AGED 16 OR OVER RESIDENT IN THE LONDON BOROUGH OF BARNET BY PROVIDING INFORMATION, REPRESENTATION AND SUPPORT TO THOSE WHO USE COMMUNITY AND/OR HEALTH SERVICES WITH A VIEW TO DEVELOPING THEIR CAPACITIES AND SKILLS SO THAT THEY MAY BETTER MEET THEIR OWN NEEDS AND PARTICIPATE FULLY IN SOCIETY; AND
B TO ADVANCE THE EDUCATION AND TRAINING OF THOSE PROVIDING ADVOCACY IN THE LONDON BOROUGH OF BARNET WHO WILL ASSIST THE AFOREMENTIONED RESIDENTS."
"1139990","0","DENKYIRAMAN ASSOCIATION OF UK","25 MANCHESTER ROAD, THORNTON HEATH","CR7 8NH","Croydon North","07904143168","denkyiraman@gmail.com","www.denkyiraman.com","30/12/2019","6506.0","4775.0","Registered","Trust","Provides Other Finance, Provides Human Resources, Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","1. Provision of financial assistance for educational resources like desks, whiteboards and blackboards, books and skills development for deprived children and young people2. Provision of resources and equipments for local hospitals such as surgical equipment, beds and wheelchairs.","1) THE PROMOTION OF EDUCATION, SKILLS AND CAPACITY OF THE MEMBERS OF THE SOCIALLY AND ECONOMICALLY DISADVANTAGED COMMUNITIES, INCLUDING CHILDREN AND YOUNG PEOPLE LIVING IN THE DENKYIRAMAN TRADITIONAL AREA IN GHANA IN SUCH A WAY THAT THEY ARE BETTER ABLE TO IDENTIFY AND HELP MEET THEIR NEEDS AND TO PARTICIPATE MORE FULLY IN SOCIETY.
2) THE RELIEF OF SICKNESS AND THE PRESERVATION OF HEALTH FOR PEOPLE LIVING PERMANENTLY OR TEMPORARILY WITHIN THE DENKYLRAMAN TRADITIONAL AREAS OF GHANA."
"1036453","0","ROTARY CLUB OF HAVERING EAST CHARITY TRUST FUND","14 LITTLE GAYNES GARDENS, UPMINSTER","RM14 2JL","Hornchurch and Upminster","01708222923","jaknight14@gmail.com","www.haveringeastrotary.org","30/06/2020","10773.0","14384.0","Registered","Trust","Makes Grants To Organisations, Provides Human Resources, Provides Services","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities","To support young people through schools and organisations; channel funds we have raised into supporting other charitable organisations and help in individual cases of need.","THE RELIEF OF THE POOR AND NEEDY OR TO OR FOR SUCH OTHER CHARITABLE PURPOSE AS THE CLUB SHALL DIRECT"
"1091318","0","HCT GROUP","H C T Group, 49-51 East Road, LONDON","N1 6AH","Hackney South and Shoreditch","02076088959","andrewbeck@hctgroup.org","www.hctgroup.org","01/04/2019","76722621.0","78292813.0","Registered","Charitable company","Provides Services","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","TRANSPORT SERVICES AND TRAINING SERVICES","""THE OBJECTS OF COMMUNITY TRANSPORT ARE FOR SUCH PURPOSES AS MAY BE CHARITABLE IN LAW BUT IN PARTICULAR:A.  TO PROVIDE A COMMUNITY TRANSPORT SERVICE FOR THE INHABITANTS OF THE LONDON BOROUGH OF HACKNEY AND ITS NEIGHBOURHOOD WHO ARE IN NEED OF SUCH SERVICES BECAUSE OF AGE, SICKNESS, DISABILITY (MENTAL OR PHYSICAL) OR POVERTY OR  BECAUSE OF A LACK OF AVAILABILITY OF ADEQUATE AND SAFE PUBLIC TRANSPORT; ANDB.  THE RELIEF OF UNEMPLOYMENT FOR THE PUBLIC BENEFIT THROUGH THE PROVISION OF DRIVER TRAINING PROGRAMMES"""
"1115126","0","IRANIAN ADVISORY & SUPPORT AGENCY","374 BALLARDS LANE, LONDON","N12 0EE","Finchley and Golders Green","02084920411","benbourog@yahoo.com","","30/03/2020","3850.0","3800.0","Registered","Other","Provides Human Resources, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Prevention Or Relief Of Poverty, Amateur Sport, Economic/community Development/employment","Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","To promote the benefit of the inhabitants of the West Midlands region and in particular the Iranian community, by the relief of the poverty, sickness and distress through the provision of information, advise and support, the advancement of education and training and provide facilities in the interest of social welfare for recreation and other leisure-time activities.With the objective of improving","(4)  TO PROMOTE THE BENEFIT OF THE INHABITANTS OF NORTH LONDON AND IN PARTICULAR THE IRANIAN COMMUNITY, BY THE RELIEF OF POVERTY, SICKNESS AND DISTRESS THROUGH THE PROVISION OF INFORMATION, ADVICE AND SUPPORT, THE ADVANCEMENT OF EDUCATION AND TRAINING AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND OTHER LEISURE-TIME ACTIVITIES WITH THE OBJECTIVE OF IMPROVING THE CONDITIONS OF SAID INHABITANTS.
(4.1)  TO PROMOTE SUCH OTHER CHARITABLE PURPOSES AS MAY FROM TIME TO TIME BE DETERMINED."
"1123471","0","THE LONDON CRICKET SCHOOL LTD","Flat 62, St. Nicholas Court, 121 Aldriche Way, London","E4 9LX","Chingford and Woodford Green","07961994994","","www.thelcs.org.uk","31/05/2020","7588.0","7840.0","Registered","Charitable company","Provides Buildings/facilities/open Space, Other Charitable Activities","General Charitable Purposes, Education/training, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","Help to enhance and promote grass-roots cricket in secondary schools, colleges and young persons wishing to play the game of cricket. We provide coaching by Professionals and ECB qualified coaches free of charge throughout the year. We take young people to experience the thrill of county and international cricket matches. We also aim to set up Indoor secondary school cricket leagues.","A)  TO MAKE THE SCHOOL A MODEL OF CRICKET EXCELLENCE BY QUALITY ALL-ROUND EDUCATION, BOTH THEORETICAL AND PRACTICAL.
B)  TO DEVELOP PLAYERS FOR COUNTY LEVEL AND HOPEFULLY ENGLAND.
C)  TO INTRODUCE OR FURTHER DEVELOP CRICKET TO ALL JUNIOR COLTS FREE OF CHARGE.
D)  TO TEACH SECONDARY SCHOOL CHILDREN CRICKET DURING SCHOOL TIME FREE OF CHARGE.
E)  UNITE THE PEOPLE AND RAISE THE PROFILE OF JUNIOR LONDON CRICKET.
F)  CREATE AN ENVIRONMENT WITHIN LCSE THAT WILL ENCOURAGE COMMUNITY COHESION AND CATER FOR EVERY AGE GROUP BY PROVIDING A WIDE RANGE OF FACILITIES.
G)  SECURE THE INTERESTS OF PARTNERS, SPONSORS AND LONDON BOROUGHS."
"1048145","0","THE TRINITY CENTRE (DALSTON)","TRINITY CENTRE (DALSTON), BEECHWOOD ROAD, LONDON","E8 3DY","Hackney North and Stoke Newington","02072496061","trinitycentredalston@gmail.com","thetrinitycentredalston.org.uk","31/12/2019","99437.0","66671.0","Registered","Charitable company","Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, Education/training, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","Providing: 
support to children and their families through outreach and family development activities, 
education and recreational opportunities for children and young people, 
a safe secure and accessible community space.","TO PROMOTE ANY CHARITABLE PURPOSE FOR THE BENEFIT OF THE COMMUNITY IN THE LONDON BOROUGHS OF HACKNEY AND ISLINGTON, AND IN PARTICULAR (BUT WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING) THE ADVANCEMENT OF EDUCATION AND TRAINING ; THE ADVANCEMENT OF RELIGION; AND THE PROVISION OF RECREATIONAL AND LEISURE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE."
"1114755","0","LONDON ACCOUNTANCY PRACTICE","SOJOURNER TRUTH COMMUNITY CENTRE, 161 SUMNER ROAD, LONDON","SE15 6JL","Camberwell and Peckham","02077085999","lapadmin@btconnect.com","www.localaccountancyproject.org.uk","31/03/2020","61803.0","63770.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","Education/training, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","The objects for which the company is established are: To provide training, advice and practical assistance to voluntary and community organisations and their beneficiaries on the correct and appropriate management of their finances.","(3)  THE AREA OF BENEFIT OF THE ASSOCIATION IS GREATER LONDON , AND IN PARTICULAR THE LONDON BOROUGHS OF SOUTHWARK, LEWISHAM AND LAMBETH.
(4)  THE OBJECT FOR WHICH THE ASSOCIATION IS ESTABLISHED IS TO PROMOTE THE EFFICIENCY AND EFFECTIVENESS OF CHARITIES BY THE PROVISION OF A COMPREHENSIVE FINANCIAL ADVISORY SERVICE AND THE TRAINING OF THEIR EMPLOYEES IN RELEVANT FINANCE SKILLS BY (WITHOUT PREJUDICE TO THE GENERALITY OF THE FOREGOING):
(4.1)  HELPING INDIVIDUAL ORGANISATIONS (WHETHER INCORPORATED OR UNINCORPORATED) THAT FOR WHATEVER REASON HAVE SOME FORM OF FINANCIAL DIFFICULTY OR CRISIS;
(4.2)  ADVISING AND HELPING SUCH INDIVIDUAL ORGANISATIONS TO SET UP APPROPRIATE BOOKS OF ACCOUNT AND KEEP THEM UP TO DATE;
(4.3)  PROMOTING METHODS OF BOOK-KEEPING;
(4.4)  ADVISING ON INFORMATION FLOWS BETWEEN THE RELEVANT MEMBERS AND MANAGEMENT COMMITTEE OF THE INDIVIDUAL ORGANISATION AND GIVING ADVICE ON STRUCTURES TO ENSURE ACCOUNTABILITY;
(4.5)  GIVING ADVICE ON BUDGETS, FUNDING, LOCAL AUTHORITY, CENTRAL GOVERNMENT AND OTHER GRANTS, SALARIES AND NATIONAL INSURANCE, LOCAL GOVERNMENT PAY SCALES AND CASH FLOWS;
(4.6)  ENABLING INDIVIDUAL ORGANISATIONS TO HAVE A CLEARER UNDERSTANDING OF LOCAL AUTHORITY FINANCE IN SO FAR AS THIS AFFECTS THE ORGANISATIONS' DECISION-MAKING;
(4.7)  UNDERTAKING INDEPENDENT EXAMINATION AND AUDIT WORK;
(4.8)  WHERE APPROPRIATE PROVIDING TRAINING AND SERVICES TO ACHIEVE THE ABOVE;
(4.9)  ANY OTHER ACTIVITY WHICH THE TRUSTEES MAY FROM TIME TO TIME DECIDE IN FURTHERANCE OF THE OBJECT SET OUT ABOVE."
"1116674","0","HOSPITALS FOR AFRICA (HOFA)","HOSPITALS FOR AFRICA (HOFA), 5 GREENWICH QUAY, CLARENCE ROAD, LONDON","SE8 3EY","Greenwich and Woolwich","02086913930","","","30/06/2017","1740.0","1153.0","Registered","Charitable company","Makes Grants To Organisations, Provides Buildings/facilities/open Space","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Economic/community Development/employment, Other Charitable Purposes","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","Raising of funds and receiving donations for distribution to hospitals in Africa for the relief of sickness and preservation of health.","RELIEF OF SICKNESS AND PRESERVATION OF HEALTH IN AFRICA BY PROVIDING FUNDS AND PROVIDING MEDICAL EQUIPMENT, MEDICINES AND FACILITIES TO HOSPITALS, HEALTH CENTRES AND MEDICAL RESEARCH CENTRES IN AFRICA"
"1188822","0","SIRLUTE","Leaside Businesss Centre, Redbox, 44 Gillender Street, Poplar, London","E14 6RN","Poplar and Limehouse","07707903179","info@sirlute.com","www.sirlute.com","",,,"Registered","CIO","Provides Buildings/facilities/open Space, Provides Services","General Charitable Purposes, Education/training, Disability, Arts/culture/heritage/science, Economic/community Development/employment, Recreation, Other Charitable Purposes","Children/young People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","Sirlute CIO, is a charity that provides educational music programmes up to the age of 25 from disadvantaged backgrounds. Delivering music workshops, artist development & work experience to counter youth violence and risk-taking behaviour.

Sirlute is youth led, workshops and learning are co designed by industry professionals, community leaders & our beneficiaries.","TO ACT AS A RESOURCE FOR YOUNG PEOPLE UP TO THE AGE OF 25 LIVING IN LONDON BY PROVIDING ADVICE AND ASSISTANCE AND ORGANISING PROGRAMMES OF PHYSICAL, EDUCATIONAL AND OTHER ACTIVITIES AS A MEANS OF:
(A) ADVANCING IN LIFE AND HELPING YOUNG PEOPLE BY DEVELOPING THEIR SKILLS, CAPACITIES AND CAPABILITIES TO ENABLE THEM TO PARTICIPATE IN SOCIETY AS INDEPENDENT, MATURE AND RESPONSIBLE INDIVIDUALS;
(B) ADVANCING EDUCATION."
